100
DIT/FT/2A/01;p100001;Student 1;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/02;p100002;Student 2;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/03;p100003;Student 3;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/04;p100004;Student 4;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/05;p100005;Student 5;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/06;p100006;Student 6;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/07;p100007;Student 7;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/08;p100008;Student 8;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/09;p100009;Student 9;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/10;p100010;Student 10;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/11;p100011;Student 11;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/12;p100012;Student 12;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/13;p100013;Student 13;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/14;p100014;Student 14;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/15;p100015;Student 15;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/16;p100016;Student 16;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/17;p100017;Student 17;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/18;p100018;Student 18;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/19;p100019;Student 19;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/20;p100020;Student 20;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/21;p100021;Student 21;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/22;p100022;Student 22;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/23;p100023;Student 23;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/24;p100024;Student 24;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/25;p100025;Student 25;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/26;p100026;Student 26;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/27;p100027;Student 27;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/28;p100028;Student 28;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/29;p100029;Student 29;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/30;p100030;Student 30;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/31;p100031;Student 31;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/32;p100032;Student 32;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/33;p100033;Student 33;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/34;p100034;Student 34;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/35;p100035;Student 35;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/36;p100036;Student 36;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
DIT/FT/2A/37;p100037;Student 37;2;ST0509;Java;4;80;ST0502;FOP;6;75
DIT/FT/2A/38;p100038;Student 38;3;ST0503;BED;6;55.5;ST0504;MAD;5;86;ST0502;FOP;6;66
DIT/FT/2A/39;p100039;Student 39;4;ST0501;FED;5;90;ST0502;FOP;6;78;ST2413;FOC;4;65;SP108B;ECG;4;81
